Time,real,imag,abs
0.1,0.0365092,-0.0259978,0.0448197
0.2,0.0194397,0.0100886,0.0219016
0.3,-0.00915877,0.041395,0.0423961
0.4,-0.00319789,0.251413,0.251433
0.5,0.0292086,0.0440753,0.0528751
0.6,-0.0554078,-0.0159777,0.0576655
0.7,0.0322681,0.0205104,0.0382349
0.8,0.0104245,0.020218,0.0227473
0.9,-6.27237e-05,-0.0168071,0.0168072
1,0.0155834,0.0154511,0.0219449
1.1,0.0437452,0.0628016,0.0765355
1.2,-0.0628714,0.0454825,0.0775982
1.3,-0.0379534,0.0219855,0.0438614
1.4,0.0624424,-0.0452454,0.0771116
1.5,-0.0241252,0.0334759,0.0412633
1.6,-0.114332,-0.0106644,0.114828
1.7,0.0671711,0.163177,0.176462
1.8,-0.0365518,0.182663,0.186284
1.9,-0.014235,0.157751,0.158392
2,-0.0402385,-0.0218557,0.0457909
2.1,0.0664131,0.0804111,0.104291
2.2,-0.0114457,0.0430239,0.0445204
2.3,0.0134532,-0.00707784,0.0152015
2.4,-0.104659,-0.0847984,0.134701
2.5,0.0274912,-0.0258735,0.0377519
2.6,0.00106502,0.0208477,0.0208749
2.7,0.0318349,0.130275,0.134109
2.8,-0.00755985,-0.0219236,0.0231904
2.9,0.0272091,0.0566547,0.0628497
3,0.0513145,0.0912413,0.104681
3.1,0.0967802,0.0322844,0.102023
3.2,0.00831595,-0.0291011,0.030266
3.3,0.0403638,0.0257802,0.0478942
3.4,-0.0376561,0.0662165,0.0761748
3.5,0.0119421,-0.0112578,0.016412
3.6,-0.0474467,0.104541,0.114805
3.7,0.0669193,0.0325926,0.0744343
3.8,0.0125154,-0.108915,0.109632
3.9,-0.0930637,-0.030937,0.0980712
4,0.0583782,0.0759496,0.0957933
